iter	Passed	Remaining
399	29471	44206
400	29563	44161
401	29771	44287
402	29877	44259
403	29911	44126
404	29965	44023
405	29993	43882
406	30020	43739
407	30077	43641
408	30159	43579
409	30185	43437
410	30205	43287
411	30227	43140
412	30418	43233
413	30471	43130
414	30499	42992
415	30611	42973
416	30736	42972
417	30836	42934
418	30900	42847
419	30919	42698
420	30966	42588
421	31000	42460
422	31042	42343
423	31206	42393
424	31262	42296
425	31428	42346
426	31453	42207
427	31486	42080
428	31511	41941
429	31533	41800
430	31546	41647
431	31579	41520
432	31614	41397
433	31683	41319
434	31813	41320
435	31879	41238
436	31911	41112
437	31933	40974
438	31959	40840
439	32018	40750
440	32034	40606
441	32050	40461
442	32076	40331
443	32090	40185
444	32102	40037
445	32112	39889
446	32146	39770
447	32189	39662
448	32365	39717
449	32465	39680
450	32505	39568
451	32543	39455
452	32678	39459
453	32726	39358
454	32793	39280
455	32846	39185
456	33080	39305
457	33254	39353
458	33342	39299
459	33392	39200
460	33478	39142
461	33540	39057
462	33756	39152
463	33905	39166
464	33953	39064
465	34065	39036
466	34086	38903
467	34160	38831
468	34263	38792
469	34306	38686
470	34443	38685
471	34620	38727
472	34690	38650
473	34720	38529
474	34845	38512
475	34866	38382
476	34978	38351
477	35101	38332
478	35131	38211
479	35206	38140
480	35272	38058
481	35307	37944
482	35349	37837
483	35373	37711
484	35473	37667
485	35503	37548
486	35541	37438
487	35561	37310
488	35642	37246
489	35746	37205
490	35786	37098
491	35826	36991
492	35929	36950
493	36074	36950
494	36106	36835
495	36170	36753
496	36204	36641
497	36224	36515
498	36260	36405
499	36322	36322
500	36395	36250
501	36491	36200
502	36588	36151
503	36657	36075
504	36767	36039
505	36782	35910
506	36803	35787
507	36822	35662
508	37088	35777
509	37139	35682
510	37200	35598
511	37294	35546
512	37341	35448
513	37437	35397
514	37453	35271
515	37507	35181
516	37536	35067
517	37584	34972
518	37642	34886
519	37675	34777
520	37711	34671
521	37745	34563
522	37820	34494
523	37869	34400
524	37906	34296
525	37937	34186
526	37979	34087
527	38068	34031
528	38114	33935
529	38126	33810
530	38140	33687
531	38158	33567
532	38171	33444
533	38194	33331
534	38211	33211
535	38255	33116
536	38298	33021
537	38337	32921
538	38389	32833
539	38447	32751
540	38459	32630
541	38481	32517
542	38502	32404
543	38523	32291
544	38588	32215
545	38682	32164
546	38768	32106
547	38784	31990
548	38809	31881
549	38834	31773
550	38844	31653
551	38856	31535
552	38870	31420
553	38887	31306
554	38914	31201
555	38931	31088
556	38968	30992
557	38984	30879
558	39003	30770
559	39028	30665
560	39084	30584
561	39131	30497
562	39181	30412
563	39205	30307
564	39222	30197
565	39237	30086
566	39251	29974
567	39259	29859
568	39270	29746
569	39289	29639
570	39302	29528
571	39312	29415
572	39324	29304
573	39339	29196
574	39358	29090
575	39391	28996
576	39474	28939
577	39581	28898
578	39657	28835
579	39714	28759
580	39823	28719
581	39883	28644
582	39982	28598
583	40124	28582
584	40218	28531
585	40238	28427
586	40512	28503
587	40732	28540
588	40776	28453
589	41082	28548
590	41224	28529
591	41304	28466
592	41512	28492
593	41541	28393
594	41772	28433
595	42116	28548
596	42137	28444
597	42449	28536
598	42463	28427
599	42476	28317
600	42976	28532
601	43012	28437
602	43038	28335
603	43415	28464
604	43842	28624
605	43856	28514
606	43869	28403
607	44175	28481
608	44190	28372
609	44506	28454
610	44778	28508
611	45011	28536
612	45034	28431
613	45150	28384
614	45173	28279
615	45842	28577
616	45912	28500
617	47909	29613
618	47936	29505
619	47949	29388
620	48335	29499
621	48734	29616
622	48749	29499
623	49525	29842
624	49632	29779
625	50210	29998
626	50235	29884
627	50665	30011
628	50705	29907
629	50851	29864
630	50879	29753
631	51383	29919
632	51820	30044
633	52391	30244
634	52418	30130
635	53076	30377
636	53785	30650
637	53874	30568
638	54140	30586
639	54579	30700
640	54948	30774
641	54972	30654
642	59867	33238
643	59893	33108
644	59962	33002
645	60713	33270
646	61195	33388
647	62109	33738
648	62168	33622
649	62427	33614
650	63067	33810
651	63808	34057
652	66168	35161
653	67756	35846
654	68077	35857
655	68108	35715
656	68431	35726
657	68459	35582
658	68852	35627
659	69626	35868
660	69701	35746
661	70459	35974
662	70547	35858
663	70952	35903
664	70973	35753
665	71285	35749
666	71333	35613
667	71619	35595
668	71640	35445
669	72599	35757
670	74536	36546
671	74662	36442
672	74793	36340
673	75183	36364
674	75252	36232
675	75837	36348
676	75892	36208
677	76606	36382
678	76638	36231
679	77740	36583
680	77955	36516
681	78098	36415
682	78663	36509
683	78977	36486
684	79005	36330
685	79107	36209
686	79886	36396
687	80468	36491
688	80545	36356
689	83707	37607
690	83765	37458
691	84274	37509
692	85771	37997
693	85980	37910
694	87571	38430
695	87603	38263
696	87929	38224
697	87948	38052
698	87977	37884
699	87999	37713
700	88343	37681
701	88364	37510
702	89690	37891
703	89760	37740
704	90316	37792
705	90342	37621
706	90710	37592
707	91046	37550
708	91092	37387
709	91477	37364
710	91495	37190
711	92672	37485
712	93001	37435
713	93018	37259
714	93036	37084
715	93911	37249
716	94205	37183
717	94248	37016
718	94980	37120
719	94999	36944
720	95381	36909
721	96008	36967
722	97209	37243
723	98060	37382
724	98920	37521
725	98944	37342
726	100166	37614
727	100273	37464
728	100736	37448
729	100762	37268
730	100778	37085
731	101213	37056
732	101404	36937
733	101878	36920
734	102000	36775
735	102523	36774
736	103088	36787
737	103171	36627
738	103551	36572
739	103571	36389
740	103654	36230
741	103965	36149
742	103996	35971
743	104300	35888
744	104356	35719
745	104674	35639
746	104704	35462
747	105341	35489
748	105443	35335
749	108009	36003
750	108622	36014
751	108727	35857
752	109966	36071
753	110053	35905
754	110651	35906
755	110677	35721
756	110791	35564
757	110812	35378
758	111452	35388
759	111469	35200
760	112326	35277
761	112356	35092
762	112797	35036
763	112846	34858
764	114051	35035
765	114160	34874
766	114949	34919
767	114973	34731
768	115211	34608
769	116644	34841
770	117727	34966
771	117781	34785
772	118246	34724
773	118757	34675
774	118770	34481
775	118795	34291
776	119514	34300
777	119547	34112
778	119672	33950
779	119750	33775
780	119782	33588
781	119813	33400
782	120618	33428
783	120646	33239
784	121164	33185
785	121790	33159
786	121833	32974
787	122524	32963
788	123134	32929
789	123174	32742
790	123767	32702
791	123787	32509
792	124231	32428
793	124309	32251
794	124605	32130
795	124629	31940
796	125076	31857
797	125087	31663
798	125099	31470
799	125523	31380
800	125776	31247
801	126046	31118
802	126075	30930
803	126114	30744
804	126644	30677
805	127039	30577
806	127679	30535
807	127695	30343
808	128030	30227
809	128458	30132
810	128606	29971
811	129073	29883
812	129125	29700
813	129688	29634
814	130089	29529
815	130333	29389
816	130725	29281
817	130772	29096
818	131082	28969
819	132439	29072
820	132653	28921
821	134976	29228
822	135000	29034
823	135408	28922
824	135436	28728
825	135697	28585
826	135975	28444
827	136045	28260
828	136213	28097
829	137048	28070
830	137139	27890
831	137519	27768
832	137700	27606
833	137768	27421
834	138104	27290
835	138136	27098
836	138305	26934
837	138815	26835
838	138833	26641
839	139073	26490
840	139440	26362
841	139526	26181
842	139732	26023
843	139761	25832
844	139958	25672
845	140352	25548
846	140491	25377
847	140511	25186
848	140608	25008
849	140843	24854
850	140877	24665
851	141281	24541
852	141544	24392
853	141606	24209
854	141622	24017
855	141746	23845
856	141901	23677
857	141994	23500
858	142016	23311
859	142288	23163
860	142310	22974
861	142472	22808
862	142788	22667
863	143272	22552
864	143715	22429
865	143755	22243
866	143963	22084
867	144012	21900
868	144221	21741
869	144234	21552
870	144474	21397
871	144491	21209
872	144773	21061
873	145002	20904
874	145020	20717
875	145038	20530
876	145178	20361
877	145534	20222
878	145582	20040
879	145745	19874
880	145765	19689
881	145873	19516
882	146073	19355
883	146204	19185
884	146258	19005
885	146277	18821
886	146712	18690
887	147083	18551
888	147154	18373
889	147375	18214
890	147611	18057
891	147739	17887
892	147790	17708
893	147912	17537
894	147972	17359
895	148110	17191
896	148143	17010
897	148250	16839
898	148388	16671
899	148404	16489
900	148654	16333
901	148692	16155
902	148850	15989
903	149057	15829
904	149119	15653
905	149282	15488
906	149302	15308
907	149341	15131
908	149569	14973
909	149832	14818
910	150135	14667
911	150361	14508
912	150552	14346
913	150570	14167
914	150907	14018
915	150946	13842
916	150971	13664
917	151192	13505
918	151247	13330
919	151288	13155
920	151538	12998
921	151844	12845
922	151866	12669
923	152068	12507
924	152376	12354
925	152608	12195
926	152642	12020
927	152764	11852
928	152913	11686
929	153055	11520
930	153403	11369
931	153697	11214
932	153817	11045
933	153867	10872
934	154194	10719
935	154454	10560
936	154470	10385
937	154846	10235
938	155195	10081
939	155645	9934
940	155723	9763
941	156081	9610
942	156115	9436
943	156302	9272
944	156513	9109
945	156562	8936
946	156717	8770
947	157008	8612
948	157040	8439
949	157320	8280
950	157356	8107
951	157558	7944
952	157754	7780
953	157897	7613
954	158175	7453
955	158211	7281
956	158414	7117
957	158429	6945
958	158848	6791
959	158923	6621
960	159032	6453
961	159058	6282
962	159201	6116
963	159393	5952
964	159705	5792
965	159774	5623
966	160037	5461
967	160066	5291
968	160171	5124
969	160298	4957
970	160343	4788
971	160659	4628
972	160879	4464
973	160925	4295
974	161078	4130
975	161214	3964
976	161443	3800
977	161454	3631
978	161476	3463
979	161727	3300
980	161920	3136
981	162032	2970
982	162221	2805
983	162503	2642
984	162685	2477
985	163122	2316
986	163152	2148
987	163251	1982
988	163339	1816
989	163383	1650
990	163657	1486
991	163724	1320
992	163865	1155
993	163916	989
994	163973	823
995	163986	658
996	164003	493
997	164117	328
998	164138	164
999	164333	0
